Date,Country,Confirmed Cases,Recovered,Deaths,Active,
2021-04-18,South Africa,1565680,53711,1489457,22512,
2021-04-19,South Africa,1566769,53736,1490143,22890,
2021-04-20,South Africa,1567513,53757,1490876,22880,
2021-04-21,South Africa,1568366,53887,1494630,19849,
2021-04-22,South Africa,1569935,53940,1495864,20131,
2021-04-23,South Africa,1571348,53995,1496756,20597,
2021-04-24,South Africa,1572985,54066,1499110,19809,
2021-04-18,Panama,360249,6185,350134,3930,
2021-04-19,Panama,360597,6187,350347,4063,
2021-04-20,Panama,361044,6189,350835,4020,
2021-04-21,Panama,361044,6189,350835,4020,
2021-04-22,Panama,361319,6192,351228,3899,
2021-04-23,Panama,361992,6198,351949,3845,
2021-04-24,Panama,362358,6200,352255,3903,
